Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Gravity, Y Gravity, Z Gravity, X Gravity Raw, Y Gravity Raw, Z Gravity Raw, Delta Time, 
97 second part, 6, 27/11/2018, 15:55:32, 1921.779, -0.11558758776817, -0.32983488828068, -0.91426248223329, -0.118408203125, -0.332763671875, -0.91517639160156, 0.010070000000269, 
97 second part, 6, 27/11/2018, 15:55:32, 1933.289, -0.11660359705776, -0.32981038382761, -0.91460106555293, -0.12574768066406, -0.32958984375, -0.91764831542969, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:32, 1942.876, -0.11693664555511, -0.3291413571636, -0.91474557325545, -0.11993408203125, -0.3231201171875, -0.91604614257812, 0.010041999999885, 
97 second part, 6, 27/11/2018, 15:55:32, 1951.838, -0.11640478519882, -0.3285911130488, -0.914822224426, -0.11161804199219, -0.32363891601562, -0.91551208496094, 0.010069000000385, 
97 second part, 6, 27/11/2018, 15:55:32, 1961.384, -0.11525014652269, -0.3285155100447, -0.91515518753028, -0.1048583984375, -0.32783508300781, -0.91815185546875, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:32, 1971.419, -0.11409500491729, -0.32846425200898, -0.91529005940225, -0.10369873046875, -0.3280029296875, -0.91650390625, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:32, 1981.563, -0.113534503449, -0.32837844692527, -0.91475684203624, -0.10848999023438, -0.32760620117188, -0.90995788574219, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 1991.756, -0.11341762536973, -0.32840955975228, -0.91383291564512, -0.11236572265625, -0.32868957519531, -0.905517578125, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 2001.673, -0.11361455912182, -0.32859625270283, -0.91295865728373, -0.11538696289062, -0.33027648925781, -0.90509033203125, 0.01006899999993, 
97 second part, 6, 27/11/2018, 15:55:32, 2011.6, -0.11355834002604, -0.32882683739349, -0.91247242290301, -0.11305236816406, -0.33090209960938, -0.90809631347656, 0.010041999999885, 
97 second part, 6, 27/11/2018, 15:55:32, 2021.636, -0.11337956901172, -0.32910607992367, -0.91252004145256, -0.11177062988281, -0.33161926269531, -0.91294860839844, 0.010085999999774, 
97 second part, 6, 27/11/2018, 15:55:32, 2033.014, -0.11286772295039, -0.32916971509536, -0.91319003437761, -0.10826110839844, -0.32974243164062, -0.91921997070312, 0.010054000000309, 
97 second part, 6, 27/11/2018, 15:55:32, 2042.871, -0.11251234713973, -0.32918426214051, -0.91425842107657, -0.10931396484375, -0.32931518554688, -0.92387390136719, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:32, 2052.574, -0.11210095617575, -0.32915462987178, -0.9157967513322, -0.1083984375, -0.32888793945312, -0.92964172363281, 0.010066000000279, 
97 second part, 6, 27/11/2018, 15:55:32, 2061.842, -0.11230596065583, -0.32893875184554, -0.91717972268335, -0.11415100097656, -0.32699584960938, -0.92962646484375, 0.01007699999991, 
97 second part, 6, 27/11/2018, 15:55:32, 2071.994, -0.11314354085978, -0.32843318232504, -0.91827180900877, -0.12068176269531, -0.32388305664062, -0.9281005859375, 0.01006499999994, 
97 second part, 6, 27/11/2018, 15:55:32, 2081.905, -0.11395229468396, -0.32818263753004, -0.91883201824461, -0.12123107910156, -0.325927734375, -0.92387390136719, 0.010045999999875, 
97 second part, 6, 27/11/2018, 15:55:32, 2091.953, -0.11476562234447, -0.32824859008563, -0.91921413624437, -0.12208557128906, -0.32884216308594, -0.92265319824219, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 2102.352, -0.11540453862565, -0.32872908996379, -0.9190087260379, -0.12115478515625, -0.33305358886719, -0.91716003417969, 0.010064000000057, 
97 second part, 6, 27/11/2018, 15:55:32, 2112.268, -0.11530054716543, -0.32943467217834, -0.91859497501614, -0.11436462402344, -0.33578491210938, -0.91487121582031, 0.010076000000026, 
97 second part, 6, 27/11/2018, 15:55:32, 2122.201, -0.11499638356217, -0.33039470837848, -0.91817224509265, -0.11225891113281, -0.33903503417969, -0.91436767578125, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:32, 2133.271, -0.11451206503017, -0.33167530590001, -0.91742862898182, -0.11015319824219, -0.34320068359375, -0.91073608398438, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:32, 2143.318, -0.11414179114434, -0.33263100529047, -0.91614444528286, -0.11080932617188, -0.34123229980469, -0.90458679199219, 0.010044999999991, 
97 second part, 6, 27/11/2018, 15:55:32, 2152.275, -0.11391230441272, -0.33327903757393, -0.91450955397723, -0.11184692382812, -0.339111328125, -0.89979553222656, 0.010066000000279, 
97 second part, 6, 27/11/2018, 15:55:32, 2163.214, -0.11376832738941, -0.33350215920716, -0.91286267572794, -0.11247253417969, -0.33551025390625, -0.89804077148438, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:32, 2172.668, -0.11358839406454, -0.33332302482941, -0.91164903999109, -0.11196899414062, -0.33171081542969, -0.90072631835938, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:32, 2182.586, -0.11362634420886, -0.33322741668241, -0.91075513208573, -0.11396789550781, -0.33236694335938, -0.9027099609375, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:32, 2192.777, -0.11327750373329, -0.33318104220167, -0.91001622776387, -0.11013793945312, -0.332763671875, -0.90336608886719, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:32, 2202.896, -0.11307951410215, -0.33327968602838, -0.90903840869842, -0.11129760742188, -0.33416748046875, -0.90023803710938, 0.010070000000269, 
97 second part, 6, 27/11/2018, 15:55:32, 2212.68, -0.11290132343412, -0.3334630699646, -0.90784556636374, -0.11129760742188, -0.33511352539062, -0.89710998535156, 0.010041000000001, 
